region,years,cif_built,cif_withdrawn
CAISO,1.4948665297741273,0.004377238360525268,0.41981695185037843
CAISO,1.4976043805612593,0.004377238360525268,0.42021488261042617
CAISO,1.51129363449692,0.004377238360525268,0.42101074413052164
CAISO,1.5277207392197125,0.004377238360525268,0.4218066056506171
CAISO,1.5331964407939767,0.004377238360525268,0.42220453641066485
CAISO,1.5441478439425051,0.004377238360525268,0.42300039793076033
CAISO,1.5496235455167693,0.004377238360525268,0.4241941902109036
CAISO,1.5523613963039014,0.004377238360525268,0.4257859132510946
CAISO,1.5550992470910336,0.004377238360525268,0.42777556705133335
CAISO,1.5633127994524298,0.004377238360525268,0.4285714285714288
CAISO,1.566050650239562,0.004377238360525268,0.4293672900915243
CAISO,1.568788501026694,0.004377238360525268,0.4301631516116198
CAISO,1.571526351813826,0.004377238360525268,0.43095901313171525
CAISO,1.5742642026009583,0.004377238360525268,0.432948666931954
CAISO,1.5852156057494866,0.004377238360525268,0.43573418225228827
CAISO,1.5879534565366187,0.004377238360525268,0.43692797453243154
CAISO,1.593429158110883,0.004377238360525268,0.4389176283326703
CAISO,1.6016427104722792,0.004377238360525268,0.43971348985276576
CAISO,1.6071184120465434,0.004377238360525268,0.4428969359331478
CAISO,1.6098562628336757,0.004377238360525268,0.4432948666931955
CAISO,1.6125941136208077,0.004377238360525268,0.44369279745324325
CAISO,1.620807665982204,0.004377238360525268,0.4444886589733387
CAISO,1.623545516769336,0.004377238360525268,0.44608038201352973
CAISO,1.626283367556468,0.004377238360525268,0.4468762435336252
CAISO,1.6290212183436004,0.004377238360525268,0.4946279347393554
CAISO,1.6317590691307324,0.004377238360525268,0.4990051730998807
CAISO,1.6372347707049966,0.004377238360525268,0.4994031038599284
CAISO,1.6454483230663928,0.004377238360525268,0.5005968961400716
CAISO,1.6509240246406571,0.004377238360525268,0.5033824114604059
CAISO,1.6563997262149213,0.004377238360525268,0.5037803422204536
CAISO,1.6591375770020533,0.004377238360525268,0.5045762037405491
CAISO,1.6618754277891854,0.004377238360525268,0.5057699960206924
CAISO,1.6646132785763177,0.004377238360525268,0.5073617190608833
CAISO,1.6673511293634498,0.004377238360525268,0.5077596498209311
CAISO,1.6700889801505818,0.004377238360525268,0.5109430959013131
CAISO,1.672826830937714,0.004377238360525268,0.5113410266613609
CAISO,1.675564681724846,0.004377238360525268,0.5133306804615997
CAISO,1.678302532511978,0.004377238360525268,0.5141265419816952
CAISO,1.68104038329911,0.004377238360525268,0.5149224035017906
CAISO,1.6837782340862424,0.004377238360525268,0.5153203342618384
CAISO,1.6892539356605065,0.004377238360525268,0.5157182650218862
CAISO,1.6947296372347707,0.004377238360525268,0.516116195781934
CAISO,1.702943189596167,0.004377238360525268,0.5173099880620773
CAISO,1.7056810403832992,0.004377238360525268,0.5181058495821728
CAISO,1.7084188911704312,0.004377238360525268,0.5185037803422206
CAISO,1.7193702943189597,0.004377238360525268,0.5189017111022683
CAISO,1.7221081451060918,0.004377238360525268,0.5192996418623161
CAISO,1.7248459958932238,0.004377238360525268,0.5200955033824116
CAISO,1.727583846680356,0.004377238360525268,0.5212892956625549
CAISO,1.730321697467488,0.004377238360525268,0.5216872264226027
CAISO,1.7357973990417521,0.004377238360525268,0.5224830879426982
CAISO,1.7385352498288844,0.004377238360525268,0.5236768802228414
CAISO,1.7412731006160165,0.004377238360525268,0.5244727417429369
CAISO,1.7440109514031485,0.004377238360525268,0.5252686032630324
CAISO,1.7467488021902806,0.004377238360525268,0.5288499801034622
CAISO,1.757700205338809,0.004377238360525268,0.5308396339037009
CAISO,1.7604380561259412,0.004377238360525268,0.5316354954237964
CAISO,1.7741273100616017,0.004377238360525268,0.5320334261838442
CAISO,1.7768651608487338,0.004377238360525268,0.532431356943892
CAISO,1.7932922655715264,0.004377238360525268,0.5332272184639875
CAISO,1.8151950718685832,0.004377238360525268,0.5336251492240353
CAISO,1.8179329226557153,0.004377238360525268,0.534023079984083
CAISO,1.8261464750171115,0.004377238360525268,0.5344210107441308
CAISO,1.834360027378508,0.004377238360525268,0.5348189415041786
CAISO,1.8453114305270362,0.004377238360525268,0.5352168722642264
CAISO,1.8535249828884326,0.0047751691205730196,0.5356148030242742
CAISO,1.8590006844626967,0.0047751691205730196,0.536012733784322
CAISO,1.864476386036961,0.0047751691205730196,0.5372065260644653
CAISO,1.8726899383983573,0.0047751691205730196,0.5380023875845608
CAISO,1.8781656399726214,0.0047751691205730196,0.539196179864704
CAISO,1.8809034907597535,0.005173099880620771,0.539196179864704
CAISO,1.891854893908282,0.005173099880620771,0.5395941106247518
CAISO,1.8973305954825461,0.005173099880620771,0.5403899721448473
CAISO,1.9274469541409993,0.005173099880620771,0.5407879029048951
CAISO,1.9356605065023955,0.005173099880620771,0.5411858336649429
CAISO,1.9411362080766599,0.005173099880620771,0.5415837644249907
CAISO,1.943874058863792,0.005571030640668523,0.5419816951850385
CAISO,1.946611909650924,0.005571030640668523,0.5423796259450863
CAISO,1.949349760438056,0.005571030640668523,0.5435734182252295
CAISO,1.9548254620123204,0.005571030640668523,0.5439713489852773
CAISO,1.9575633127994525,0.005571030640668523,0.5443692797453251
CAISO,1.9630390143737166,0.005571030640668523,0.5447672105053729
CAISO,1.9712525667351128,0.005571030640668523,0.5451651412654207
CAISO,1.9794661190965093,0.005571030640668523,0.5455630720254685
CAISO,1.995893223819302,0.005571030640668523,0.5459610027855163
CAISO,1.998631074606434,0.005571030640668523,0.5463589335455641
CAISO,2.0095824777549622,0.005571030640668523,0.5471547950656596
CAISO,2.0177960301163584,0.005571030640668523,0.5475527258257074
CAISO,2.020533880903491,0.005571030640668523,0.5483485873458028
